Instructor,Rating,Would Take Again,Difficulty,Tags
Thomas J Bussey,5/5,82%,3.8,"Amazing lectures, Tough grader, Clear grading criteria, Respected, Skip class? You won't pass."
Dionicio R. Siegel,5/5,100%,2.9,"Amazing lectures, Skip class? You won't pass., Caring, Clear grading criteria, Test heavy"
Ann Woods,5/5,98%,2.8,"Amazing lectures, Skip class? You won't pass., Clear grading criteria, Graded by few things, Respected"
Matthew John Kline,5/5,100%,1.6,"Amazing lectures, Clear grading criteria, Hilarious, Lecture heavy, Graded by few things"
Maho Niwa,2/5,25%,4.3,"Test heavy, Tough grader, Graded by few things, Lecture heavy, Would take again"
Jason Xiao-Jian,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Marcos Antonio,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Michael Wayne Meyer,4.7/5,100%,2,"Group projects, Gives good feedback, Get ready to read, Clear grading criteria, Caring"
Joseph Riley,2/5,34%,4.2,"Skip class? You won't pass., Test heavy, Tough grader, Lots of homework, Hilarious"
Robert R. Bitmead,2.5/5,65%,4.2,"Lots of homework, Tough grader, Hilarious, Test heavy, EXTRA CREDIT"
Jeffrey S Gee,3.6/5,86%,4,"Lecture heavy, Tough grader, Caring, Graded by few things, Accessible outside class"
Matthew Stephen,4.4/5,87%,2.5,"Participation matters, Graded by few things, Skip class? You won't pass., Hilarious, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Eduardo R. Macagno,4.1/5,84%,3.3,"Group projects, Clear grading criteria, Respected, Accessible outside class, Tough grader"
Eric Morgan,4.9/5,89%,2.6,"Gives good feedback, Participation matters, Respected, Amazing lectures, Group projects"
Alex Vaughn Norr,2.3/5,25%,3.8,"Tough grader, Lots of homework, Lecture heavy, Graded by few things"
Hang Xu,4.8/5,100%,2.6,"Accessible outside class, Caring, Amazing lectures, Gives good feedback, Clear grading criteria"
Jennifer M Nations,4.3/5,N/A,2.5,None
Dennis R. Childs,4.5/5,60%,3.3,"Get ready to read, Inspirational, Respected, Participation matters, Beware of pop quizzes"
Pamela M Ban,4.1/5,75%,3.6,"Clear grading criteria, Get ready to read, Participation matters, Amazing lectures, Gives good feedback"
Jessica Lynn Arlett,2/5,100%,3.3,"Clear grading criteria, Test heavy, Graded by few things"
Shawna F Kidman,2.4/5,100%,4.1,"Tough grader, Beware of pop quizzes, Amazing lectures, So many papers, Caring"
Michelle Siulai Lou,5/5,100%,3,"Caring, Lecture heavy, Accessible outside class"
Robert Harrison McElver,2/5,0%,4,"Lecture heavy, Graded by few things"
Philomena Rivas,3/5,0%,2.5,"Get ready to read, Tough grader, Participation matters, Lots of homework, Beware of pop quizzes"
Megan Beth,3.3/5,92%,2.1,"Get ready to read, Participation matters, So many papers, Gives good feedback, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Madison Leigh Pesowski,5/5,100%,2.9,"Caring, Amazing lectures, Gives good feedback, Inspirational, Group projects"
Randy K Willoughby,3.5/5,88%,4,"Get ready to read, Skip class? You won't pass., Hilarious, Beware of pop quizzes, So many papers"
Kamalika Chaudhuri,2.8/5,40%,3.2,"Beware of pop quizzes, Lecture heavy, Test heavy, Get ready to read, Clear grading criteria"
Alessandro D'Amico,N/A,N/A,N/A,
Megan C. Strom,4/5,80%,2.9,"Get ready to read, Caring, Lecture heavy, Participation matters, Amazing lectures"
Leo Jacob,5/5,100%,1.6,"Participation matters, Inspirational, Caring, Respected, Group projects"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Margarette Pamela-Burd Sousa,4.2/5,0%,2.8,"Graded by few things, Tough grader, Amazing lectures, Clear grading criteria, Test heavy"
Ralph Keeling,4/5,67%,4,"Gives good feedback, Tough grader, Would take again, Lots of homework, Beware of pop quizzes"
Sang-Hoon Song,N/A,N/A,N/A,
Machel Leigh Morrison,3.8/5,67%,4.4,"Amazing lectures, Lecture heavy, Test heavy, Tough grader, Clear grading criteria"
Alex Edward Stephenson,5/5,100%,3,"Group projects, Inspirational, Caring"
Rachel Klein,5/5,93%,2.8,"Get ready to read, Amazing lectures, So many papers, Graded by few things, Participation matters"
Areana Yen Chen,4.9/5,100%,2.5,"Caring, Participation matters, Amazing lectures, Clear grading criteria, Gives good feedback"
Ella Tour,4/5,45%,3,"Tough grader, Group projects, Get ready to read, Participation matters, Skip class? You won't pass."
David R Mares,2.7/5,28%,3.3,"Get ready to read, Tough grader, Graded by few things, Amazing lectures, Lecture heavy"
Riley Ilyse,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ludmil B Alexandrov,5/5,100%,4.6,"Respected, Caring, Clear grading criteria, Lecture heavy, Get ready to read"
James Lawrence Broz,3.3/5,50%,3.3,"Get ready to read, Lecture heavy, Graded by few things, Tough grader, Amazing lectures"
Harsh Sharma,4.1/5,73%,1.7,"Gives good feedback, Get ready to read, Skip class? You won't pass., Hilarious, Lecture heavy"
Hyonny Kim,N/A,N/A,N/A,
Cheolhong An,1/5,0%,2.3,"Tough grader, Skip class? You won't pass., Lots of homework, Graded by few things"
Sicun Gao,5/5,100%,3,"Respected, Amazing lectures, Accessible outside class, Inspirational, EXTRA CREDIT"
Charles Rector Curtis,4/5,100%,1.9,"Would take again, Clear grading criteria, Tests? Not many, Inspirational, Caring"
Yuan Taur,4/5,80%,3,"Graded by few things, Clear grading criteria, Test heavy, Caring, Respected"
Arthur Laird,4.3/5,50%,2.2,"Tough grader, Would take again, Gives good feedback, Respected, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Adriana Tosun,N/A,N/A,N/A,
Taisha Janee McMickens,N/A,N/A,N/A,
William Wachob,N/A,N/A,N/A,
Hyesin Yun,2.6/5,54%,4,"Tough grader, Lots of homework, Beware of pop quizzes, Get ready to read, Group projects"
Christopher Michael Perreira,5/5,100%,1,"Participation matters, Amazing lectures, Clear grading criteria"
Dusan Keres,2.8/5,58%,4,"Test heavy, Tough grader, Lots of homework, Accessible outside class, Skip class? You won't pass."
Tage S,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
David Traver,4.2/5,N/A,2.8,"Tough grader, Get ready to read, Participation matters"
Boatema Boateng,3/5,56%,3.2,"Get ready to read, Tough grader, Skip class? You won't pass., Respected, Amazing lectures"
Daniela Valdez-Jasso,4/5,N/A,2,"Participation matters, Group projects, Tests? Not many, Lecture heavy"
Bradley Moore,3.3/5,100%,3,"Tough grader, Tests are tough, Inspirational, Lots of homework, Respected"
Marc Garellek,4.8/5,100%,2.9,"Respected, Caring, Would take again, Inspirational, Hilarious"
Amanda M,3.8/5,75%,2.6,"Get ready to read, Amazing lectures, Caring, Accessible outside class, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Anthony I Burr,4/5,80%,2.4,"Participation matters, Gives good feedback, Hilarious, Respected, Graded by few things"
Barbara Florence Walter,3.3/5,62%,3.7,"Get ready to read, Participation matters, Graded by few things, Skip class? You won't pass., Amazing lectures"
Gabriel Silva,1.7/5,0%,4.4,"Graded by few things, Test heavy, Tough grader, Lecture heavy, Get ready to read"
Kristen Marie Vaccaro,2/5,0%,2.4,"Participation matters, Graded by few things, Tough grader, Beware of pop quizzes, Accessible outside class"
Boris Kramer,2.4/5,40%,4.8,"Test heavy, Lots of homework, Tough grader, Skip class? You won't pass., Graded by few things"
William Camargo,3.5/5,50%,3,"Gives good feedback, Inspirational, Caring"
David Kleinfeld,1.9/5,N/A,3.1,None
Susan Ackerman,5/5,100%,3,"Participation matters, Skip class? You won't pass., Gives good feedback"
John D Blanco,3.5/5,50%,2.6,"Get ready to read, Skip class? You won't pass., EXTRA CREDIT, Group projects, Caring"
Kyle Adam,2.9/5,50%,3,"Tough grader, Get ready to read, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jonathan Slade,2.4/5,100%,3.3,"Group projects, Tough grader, Clear grading criteria, Lots of homework, Hilarious"
Kevan Quinn Malone,5/5,100%,2.9,"Caring, Gives good feedback, Get ready to read, Inspirational, Hilarious"
Matthew William Draper,N/A,N/A,N/A,
Joseph Thomas Stratmann,3.3/5,100%,2.9,"Lots of homework, Clear grading criteria, Lecture heavy, Test heavy"
Stefan Savage,3.5/5,67%,2.9,"Get ready to read, Skip class? You won't pass., Amazing lectures, Hilarious, So many papers"
Kaixuan Ni,4.3/5,93%,2.2,"Caring, Clear grading criteria, Accessible outside class, Respected, EXTRA CREDIT"
Armand Yervant Tufenkian,5/5,100%,1,"Amazing lectures, Inspirational, Caring"
Lutz Peter Warnke,4.2/5,88%,3.2,"Caring, Lots of homework, Accessible outside class, Gives good feedback, Clear grading criteria"
Eric Tomas Steiner,5/5,98%,2.9,"Caring, Clear grading criteria, Respected, Amazing lectures, Accessible outside class"
Fabiola Carranza Vargas,3.5/5,46%,3.6,"Get ready to read, Hilarious, Participation matters, Beware of pop quizzes, Graded by few things"
Vikash Gilja,4/5,67%,3.6,"Lots of homework, Test heavy, Tough grader, Get ready to read, EXTRA CREDIT"
Michelle Vy,5/5,100%,3,"Caring, Lecture heavy, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Patrick Keolu Ozer Fox,4.5/5,N/A,4,None
Aaron Daniel Finley,5/5,100%,2,"Gives good feedback, Caring"
Casandra Lopez,4/5,100%,2.2,"Get ready to read, Hilarious, Participation matters, Clear grading criteria, Inspirational"
Ryan Mark,2.9/5,60%,4.1,"Lecture heavy, Tough grader, Skip class? You won't pass., Get ready to read, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Adalbert Geral Soosai Raj,4.5/5,100%,3.4,"Amazing lectures, Caring, Lots of homework, Inspirational, Respected"
Yuko Tipton,3.2/5,100%,3.5,"Participation matters, Gives good feedback, Lots of homework, Caring, Lecture heavy"
Ko Woon Um,3.6/5,73%,3.3,"Caring, Test heavy, Amazing lectures, Clear grading criteria, Lots of homework"
Francesco Lanza Di Scalea,3.9/5,100%,2.6,"Amazing lectures, Inspirational, Caring"
Peri Marka Klemm,4.2/5,83%,2.6,"Get ready to read, Clear grading criteria, Gives good feedback, EXTRA CREDIT, Respected"
Weiqi Zhao,4/5,100%,1.5,"Caring, EXTRA CREDIT, Clear grading criteria, Lecture heavy, Accessible outside class"
Ronald S. Burton,3.4/5,75%,3.5,"Lecture heavy, Participation matters, Skip class? You won't pass., Amazing lectures, Clear grading criteria"
Amitabha Sinha,3.2/5,50%,3.4,"Lots of homework, Tests? Not many, Would take again, Tough grader, Get ready to read"
Shankar Subramaniam,4.1/5,100%,3.5,"Respected, Get ready to read, Amazing lectures, Clear grading criteria, Inspirational"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Frances H Hammock,4/5,67%,4,"Lots of homework, Caring, Test heavy, Lecture heavy, Accessible outside class"
Kelly Kjestine Moden,3.5/5,58%,2.6,"Get ready to read, Graded by few things, Respected, Lecture heavy, Clear grading criteria"
Kimberly Schurmeier,3.4/5,67%,3.9,"Test heavy, Tough grader, Clear grading criteria, Accessible outside class, Amazing lectures"
George Fuller,4.3/5,N/A,1.2,"Clear grading criteria, Would take again"
Jonathan Douglas Walton,3.8/5,N/A,3,None
Amy Pasquinelli,4.4/5,48%,4.1,"EXTRA CREDIT, Test heavy, Lecture heavy, Participation matters, Amazing lectures"
Alison Diana Urban,N/A,N/A,N/A,
Stephen M Hedrick,4.5/5,100%,2.5,"Clear grading criteria, Skip class? You won't pass., Hilarious, Caring, Graded by few things"
Elizabeth Victoria Eikey,4.5/5,100%,2.8,"Get ready to read, Group projects, Amazing lectures, Gives good feedback, Beware of pop quizzes"
Ivana Polic,3.8/5,67%,3.4,"Get ready to read, Gives good feedback, Caring, Graded by few things"
Nicole F Steinmetz,4.6/5,N/A,2.3,"Gives good feedback, Caring, Respected"
Sara Rachel,3.5/5,50%,3.5,"Group projects, Lots of homework, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Anusorn Mudla,4.2/5,60%,4,"EXTRA CREDIT, Lots of homework, Caring, Lecture heavy, Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Inga Kim,3.5/5,50%,2.8,"Skip class? You won't pass., Gives good feedback, Respected, Lecture heavy, Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Erika Rae,4/5,100%,4,"Tough grader, Gives good feedback, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Leon Bergen,3.3/5,63%,3.6,"Group projects, Lecture heavy, Clear grading criteria, Lots of homework, Respected"
James Fowler,3.2/5,100%,2,"Gives good feedback, Group projects, Clear grading criteria, Inspirational, Caring"
Alexander Vardy,3.3/5,77%,4.1,"Tough grader, Lots of homework, Skip class? You won't pass., EXTRA CREDIT, Amazing lectures"
John Newsam,4.7/5,100%,1.3,"Participation matters, Skip class? You won't pass."
Daniel Butler,3.7/5,67%,2.9,"Clear grading criteria, Hilarious, Tough grader, Caring, Lecture heavy"
Jorge Eduardo Hirsch,2.8/5,15%,4.4,"Skip class? You won't pass., Graded by few things, Hilarious, Tough grader, Lecture heavy"
Anthony Dominic Vine,N/A,N/A,N/A,
Yuming Zhang,1.3/5,8%,4,"Test heavy, Graded by few things, Lots of homework, Tough grader, Get ready to read"
Robert Houskeeper,3.3/5,62%,3,"Clear grading criteria, Tough grader, Lecture heavy, Skip class? You won't pass., Gives good feedback"
Todd R. Martz,N/A,N/A,N/A,
Paula F Saravia,2.6/5,40%,2.5,"EXTRA CREDIT, Get ready to read, Group projects, Accessible outside class, Caring"
Glenn Tesler,4.1/5,69%,3,"Tough grader, Respected, Lots of homework, Skip class? You won't pass., Tests are tough"
Akshita Sivakumar,3.3/5,50%,4,"Get ready to read, Lecture heavy, Gives good feedback, Beware of pop quizzes, Participation matters"
Kimberly Lynn Cooper,5/5,83%,3.4,"Amazing lectures, Tough grader, Participation matters, EXTRA CREDIT, Caring"
Christopher Benner,4.3/5,100%,2.5,"Get ready to read, Participation matters, Clear grading criteria, Inspirational"
Thomas D Albright,4.6/5,100%,2.3,"Skip class? You won't pass., EXTRA CREDIT, Inspirational, Respected, Lecture heavy"
Adrian Ioana,4.1/5,91%,3.5,"Amazing lectures, Accessible outside class, Skip class? You won't pass., Caring, Lecture heavy"
Kerry V. McKenzie,4/5,50%,3,"Get ready to read, Clear grading criteria, Beware of pop quizzes, Caring, Lecture heavy"
Takaki Komiyama,3.4/5,45%,3.8,"Tough grader, Skip class? You won't pass., Graded by few things, Clear grading criteria, Beware of pop quizzes"
Debashis Sahoo,4.3/5,88%,3.1,"Caring, Clear grading criteria, Lots of homework, Respected, Tough grader"
Kunihiko Homma,5/5,100%,2.5,"Caring, Gives good feedback, Respected, Participation matters, Skip class? You won't pass."
Patrick John Adamiak,5/5,100%,2.9,"Get ready to read, Lecture heavy, Amazing lectures, Hilarious, Clear grading criteria"
Robert S. Edelman,3.4/5,84%,2.4,"Caring, Respected, Get ready to read, Lecture heavy, Graded by few things"
Jin Xi,3.7/5,50%,2.7,"Participation matters, Tough grader, Skip class? You won't pass., Gives good feedback, Caring"
Anthony Adrian Mrse,N/A,N/A,N/A,
Ping H Liao,3.8/5,75%,2.1,"Group projects, Get ready to read, Caring, Respected, Participation matters"
Deian Stefan,3.5/5,67%,3.8,"Get ready to read, Lots of homework, Caring, Respected, Skip class? You won't pass."
Robert Kluender,4.1/5,72%,3.9,"Get ready to read, Lecture heavy, Graded by few things, Amazing lectures, Gives good feedback"
Arianna Christina,5/5,100%,2.6,"Get ready to read, Participation matters, Gives good feedback, Caring, Amazing lectures"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
David J Danks,4.5/5,100%,2.6,"Amazing lectures, So many papers, Group projects, Clear grading criteria, Lots of homework"
Martin Boston,4.5/5,100%,2,"Get ready to read, Participation matters, EXTRA CREDIT, Clear grading criteria, Respected"
Y.Shirley Meng,5/5,100%,3,"Clear grading criteria, Gives good feedback, Inspirational"
Sophia Louisa,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Prashant Gulab Ram Mali,3/5,67%,3.7,"Lots of homework, Skip class? You won't pass., EXTRA CREDIT, Amazing lectures, So many papers"
Yu Qiao,2.9/5,50%,3,"Tough grader, Lots of homework, Get ready to read, Lecture heavy, Accessible outside class"
Michael Christopher,3.9/5,N/A,2.9,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Aram Grigoryan,5/5,100%,3,"EXTRA CREDIT, Amazing lectures, Clear grading criteria"
Alin Deutsch,4.4/5,75%,3,"Tough grader, Skip class? You won't pass., Tests are tough, Group projects, Amazing lectures"
Claus M Sorensen,2.6/5,54%,3.9,"Lots of homework, Tough grader, Skip class? You won't pass., Lecture heavy, Get ready to read"
Katherine Chelsea Murray,5/5,100%,1.4,"Participation matters, Group projects, Hilarious, Inspirational, Caring"
Joel Keith Day,4.5/5,N/A,3,None
Carolina Miranda Jauregui,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Carolina Miranda,4.3/5,90%,1.8,"Gives good feedback, Caring, Clear grading criteria, Participation matters, Group projects"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Robert J Asaro,2/5,50%,3.9,"Get ready to read, EXTRA CREDIT, Tests? Not many, Hilarious, Accessible outside class"
Amina Bocary Schartup,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Gavin Halm,N/A,N/A,N/A,
Samuel Cha,4.6/5,86%,3,"Skip class? You won't pass., Hilarious, Participation matters, Tough grader, Gives good feedback"
Sean Thomas Trott,5/5,100%,2.8,"Caring, Clear grading criteria, Accessible outside class, Gives good feedback, Participation matters"
Thomas E Levy,3.8/5,100%,2.7,"EXTRA CREDIT, Clear grading criteria, Respected"
Martin W Licht,3/5,60%,2.8,"Graded by few things, Caring, Test heavy, Clear grading criteria, Lecture heavy"
Naoki Iwamoto,4/5,100%,3.8,"Caring, Amazing lectures, Gives good feedback, Respected, Accessible outside class"
Daniel Herschel Dubin,4.4/5,50%,2.6,"Amazing lectures, Lots of homework, Get ready to read, Respected"
Tse Nga Ng,2/5,50%,1.5,"Group projects, Lecture heavy, Accessible outside class"
Kevin Xuanduy Bui,4.4/5,91%,2.8,"Amazing lectures, Skip class? You won't pass., Inspirational, Hilarious, Respected"
Julie Sara Veronique Burelle,4.7/5,100%,1.1,"Amazing lectures, Get ready to read, Skip class? You won't pass., Gives good feedback, Respected"
Mark T Young,5/5,89%,3.3,"Get ready to read, Gives good feedback, Tough grader, Participation matters, Skip class? You won't pass."
Angel Ruiz Blanco,4.3/5,100%,3.7,"Clear grading criteria, Gives good feedback, Inspirational, Caring, Respected"
Umberto Mignozzetti,4.3/5,86%,2,"Group projects, Caring, Gives good feedback, Hilarious, Participation matters"
Ethan Bier,3/5,N/A,3.1,Skip class? You won't pass.
Katherine Rittenhouse,4.5/5,100%,2.5,"Group projects, Respected, Participation matters, Caring"
Isabel Trevino,4.8/5,95%,3.3,"Amazing lectures, Caring, Graded by few things, Respected, Clear grading criteria"
David Stegman,3/5,100%,3.3,"Lots of homework, Tough grader, Get ready to read, EXTRA CREDIT, Group projects"
Tatum Sasha,3.5/5,100%,2.8,"EXTRA CREDIT, Clear grading criteria, Lecture heavy, Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Alyson Chan Ma,3.9/5,64%,3.5,"Lecture heavy, Lots of homework, Test heavy, Clear grading criteria, Graded by few things"
Gregory S Edwards,3.5/5,N/A,2,None
Brian Goldfarb,4/5,N/A,2.2,"Tests? Not many, Get ready to read, Participation matters, Would take again, Gives good feedback"
Shelley Streeby,3.5/5,80%,3.1,"EXTRA CREDIT, Get ready to read, Lecture heavy, Participation matters, Lots of homework"
Stuart Adrian Sandin,4/5,0%,2,"Get ready to read, Group projects, Hilarious"
Geraldine Anna Fiss,3.9/5,100%,3.3,"Get ready to read, Lots of homework, Tough grader, Amazing lectures, Clear grading criteria"
John C. Welchman,3.8/5,100%,3.2,"Get ready to read, Amazing lectures, Lecture heavy"
Brandon M. Seward,4.4/5,88%,2.7,"Caring, Accessible outside class, Clear grading criteria, Inspirational, Amazing lectures"
Mark Young,2.8/5,34%,4.4,"Test heavy, Tough grader, Lecture heavy, Get ready to read, Lots of homework"
Benjamin A Cowan,4.9/5,100%,2.8,"Participation matters, Hilarious, Amazing lectures, Get ready to read, Accessible outside class"
Saba Bazargan-Forward,4.6/5,84%,3,"Get ready to read, Amazing lectures, Tough grader, Skip class? You won't pass., Hilarious"
Nadia Heninger,4.4/5,N/A,1.7,"Participation matters, Get ready to read, Skip class? You won't pass., Clear grading criteria, Would take again"
Gert Cauwenberghs,4/5,67%,4,"Respected, Accessible outside class, Tough grader, Gives good feedback, Lots of homework"
Alison Black,3.3/5,88%,3.1,"Caring, Clear grading criteria, Inspirational, Participation matters, Amazing lectures"
Hao Su,3.7/5,67%,4.3,"Lots of homework, Amazing lectures, Tough grader, Get ready to read, EXTRA CREDIT"
Ko Woon Ohm,3.6/5,73%,3.3,"Caring, Test heavy, Amazing lectures, Clear grading criteria, Lots of homework"
Jens Lykke-Andersen,4.4/5,100%,3.1,"Tough grader, EXTRA CREDIT, Amazing lectures, Participation matters, Skip class? You won't pass."
James Robert Friend,4.7/5,100%,2.7,"Respected, Gives good feedback, EXTRA CREDIT, Amazing lectures, Hilarious"
Catherine Ploye,2.4/5,30%,3.4,"Participation matters, Tough grader, Get ready to read, Gives good feedback, Lots of homework"
Hanh-Phuc Le,N/A,N/A,N/A,
Anne Toulson Carter,4.9/5,88%,2.9,"Amazing lectures, Caring, Lots of homework, Would take again, Clear grading criteria"
Antonio Luis Sanchez,4.1/5,75%,2.8,"Lots of homework, Hilarious, Amazing lectures, Tough grader, Get ready to read"
Sookyong Ko,3.6/5,73%,3.3,"Caring, Test heavy, Amazing lectures, Clear grading criteria, Lots of homework"
Vlado Lubarda,3.1/5,60%,2.8,"Get ready to read, Lots of homework, Hilarious, Clear grading criteria, EXTRA CREDIT"
Gweneth Anne McKinley,4.5/5,77%,3.9,"Accessible outside class, Caring, Amazing lectures, Lots of homework, EXTRA CREDIT"
Joy K Osmanski,5/5,100%,2.2,"Hilarious, Participation matters, Amazing lectures, Inspirational, Respected"
John T Hwang,5/5,100%,4,"Group projects, Amazing lectures, Respected, Gives good feedback, Inspirational"
Alexandra Viterbi,3.5/5,100%,2.5,None
Hans G Wenzl,2.5/5,34%,2.9,"Skip class? You won't pass., Lots of homework, Lecture heavy, Tough grader, EXTRA CREDIT"
Shayan Mookherjea,4.6/5,100%,3.5,"Amazing lectures, Respected"
Barbara Ann Bush,2.5/5,50%,4,"Tough grader, Get ready to read, Lots of homework"
Sean Jeffrey,3.9/5,N/A,4.3,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Danna Zhang,4/5,79%,3,"Accessible outside class, Caring, Hilarious, Amazing lectures, Lots of homework"
Michael O. Hardimon,3.6/5,80%,3.9,"Tough grader, Skip class? You won't pass., Graded by few things, Get ready to read, Lecture heavy"
Jennifer Colleen,4.5/5,87%,2.8,"Amazing lectures, Get ready to read, Beware of pop quizzes, Caring, Skip class? You won't pass."
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Douglas Bartlett,5/5,N/A,2,None
Sonia Martinez,2.4/5,0%,3.8,"Tough grader, Lots of homework, Test heavy"
Matthew Edward Bergman,3.2/5,59%,3.2,"Participation matters, Get ready to read, Skip class? You won't pass., Lecture heavy, Group projects"
Mauricio de Oliveira,3.7/5,34%,2.7,"Lots of homework, Tough grader, Gives good feedback, Inspirational, Respected"
Rafael E Nunez,2/5,23%,3.9,"Beware of pop quizzes, Tough grader, Skip class? You won't pass., Graded by few things, Test heavy"
Cameron Alexander Cinel,4.8/5,84%,3.5,"Participation matters, Amazing lectures, Lots of homework, Graded by few things, Accessible outside class"
Mara Julia De Luca,5/5,N/A,1.5,"Participation matters, Would take again, Gives good feedback"
Andrew D.,4.5/5,100%,2,"Group projects, Amazing lectures, Inspirational, Caring, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ross H. Frank,2.3/5,20%,3.2,"Get ready to read, Participation matters, Lecture heavy, Skip class? You won't pass., Amazing lectures"
Shuang Liu,3.4/5,65%,3.1,"Clear grading criteria, Test heavy, Accessible outside class, Tough grader, EXTRA CREDIT"
Yael Dahlia Van Den Einde,3.4/5,64%,4,"Tough grader, Lots of homework, Participation matters, Group projects, Lecture heavy"
Amr Hamdoun,3.9/5,50%,3.5,"Tough grader, EXTRA CREDIT, Tests are tough, Would take again, Hilarious"
Kirk C Bansak,5/5,100%,1,"Gives good feedback, Inspirational, Respected"
Be'Eri Greenfeld,4/5,65%,3.3,"Graded by few things, Clear grading criteria, Skip class? You won't pass., Caring, Respected"
Andrej Zlatos,4/5,100%,4,"Tough grader, Clear grading criteria, Lots of homework, Hilarious, Accessible outside class"
Shannon Elizabeth Ellis,N/A,N/A,N/A,
Matthew Charles Boomhower,N/A,N/A,N/A,
Adena Schachner,5/5,100%,2.4,"Amazing lectures, EXTRA CREDIT, Clear grading criteria, Respected, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Minori Inada,5/5,100%,2,"Participation matters, Amazing lectures, Lecture heavy"
Elliott S Turley,5/5,100%,3,"Clear grading criteria, Gives good feedback"
Stephen Horvath,2.8/5,0%,3.6,"Lots of homework, Tough grader, Skip class? You won't pass., Would take again, Clear grading criteria"
Peter Galderisi,4.1/5,68%,2.8,"Hilarious, Graded by few things, Accessible outside class, Get ready to read, Caring"
Jordan Crandall,3.8/5,100%,2.8,"Gives good feedback, Inspirational, Respected, Accessible outside class, Caring"
Victoria A.,4.5/5,100%,2,"Group projects, Caring, Graded by few things, Get ready to read, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Benjamin J,4.9/5,100%,2.8,"Participation matters, Hilarious, Amazing lectures, Get ready to read, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Megan E. Wesling,4.3/5,80%,2.9,"Get ready to read, Participation matters, Caring, Clear grading criteria, Gives good feedback"
Miguel Gutierrez,1.6/5,15%,5,"Test heavy, Tough grader, Lots of homework, Get ready to read, Participation matters"
Kristin Elizab De Vleming,4.9/5,96%,2.5,"Caring, Amazing lectures, Accessible outside class, Clear grading criteria, Lots of homework"
Ming Zhang,1.3/5,8%,4,"Test heavy, Graded by few things, Lots of homework, Tough grader, Get ready to read"
Yidan Yin,3.6/5,N/A,3.1,"Tough grader, Get ready to read, Clear grading criteria"
Yi Chen,2/5,50%,3,"Test heavy, Gives good feedback, Accessible outside class"
Zheng Chen,3/5,67%,4,"Skip class? You won't pass., Clear grading criteria, Lots of homework, Caring, Respected"
Mark Allen Nesbit,3.9/5,N/A,3.6,None
Sarah S Savage,5/5,100%,3,"Amazing lectures, Gives good feedback, Inspirational, Hilarious, Caring"
Michael F Joseph,5/5,100%,3,"Hilarious, Lecture heavy, Graded by few things"
Yuriy Nemish,3/5,50%,3.6,"Get ready to read, Test heavy, Lots of homework, Gives good feedback, Inspirational"
Agustina Paglayan,3/5,50%,3.5,"Get ready to read, Tough grader, Participation matters, Amazing lectures, Skip class? You won't pass."
Todd A. Henry,3.3/5,75%,4,"Tough grader, Get ready to read, Participation matters, EXTRA CREDIT, Beware of pop quizzes"
Geno Ronald Pawlak,3/5,0%,3.5,"Tough grader, Graded by few things"
